index,UF,ano,idade,sexo,escola,cor_raca,NOTA_LC,NOTA_MT,NOTA_CN,NOTA_CH,NOTA_REDACAO
7431,SP,2016,23.0,F,1,3,,,,,
7432,PE,2016,19.0,M,1,1,582.6,627.4,544.9,604.4,600.0
7433,SP,2016,45.0,F,1,0,,,,,
7434,RJ,2016,22.0,F,1,3,482.7,678.0,441.7,591.6,580.0
7435,SP,2016,22.0,F,1,1,647.0,762.4,662.5,671.3,680.0
7436,MG,2016,16.0,M,1,1,594.0,633.4,570.8,617.0,520.0
7437,PE,2016,19.0,M,1,3,459.8,380.8,491.5,590.7,500.0
7438,BA,2016,33.0,F,1,3,,,,,
7439,MT,2016,18.0,M,1,1,591.3,712.3,619.8,625.4,520.0
7440,PI,2016,31.0,F,1,3,505.3,429.1,458.2,528.2,460.0
7441,SP,2016,15.0,M,1,1,629.3,795.2,644.7,623.6,920.0
7442,RJ,2016,20.0,F,1,1,,,,,
7443,DF,2016,18.0,M,1,2,,,,,
7444,DF,2016,22.0,F,1,3,523.9,391.0,447.6,432.5,360.0
7445,MA,2016,19.0,M,1,3,544.3,371.0,380.1,521.3,480.0
7446,SC,2016,19.0,F,2,0,,,,,
7447,PR,2016,20.0,F,1,3,,,,,
7448,CE,2016,34.0,F,1,2,,,,,
7449,MA,2016,19.0,F,1,3,566.5,430.6,466.2,528.3,600.0
7450,RS,2016,18.0,F,2,1,537.6,402.4,407.8,539.5,700.0
7451,RO,2016,18.0,F,1,3,496.1,474.7,435.9,484.6,500.0
7452,SP,2016,30.0,M,1,1,,,,,
7453,RJ,2016,18.0,M,1,1,587.6,570.7,602.5,634.8,660.0
7454,RJ,2016,21.0,M,1,2,,,,,
7455,PA,2016,18.0,F,1,3,,,,,
7456,SP,2016,24.0,M,1,1,,,,,
7457,SP,2016,32.0,M,1,0,,,,,
7458,GO,2016,27.0,F,1,3,418.2,407.9,430.7,397.5,0.0
7459,PE,2016,16.0,F,1,3,514.8,456.3,415.6,517.4,600.0
7460,RN,2016,28.0,M,1,2,,,410.3,548.1,
7461,SP,2016,29.0,M,1,3,542.7,380.6,519.2,533.8,520.0
7462,RJ,2016,18.0,M,2,3,594.1,664.7,606.4,654.9,880.0
7463,DF,2016,20.0,F,1,2,,,,,
7464,BA,2016,20.0,F,1,0,,,,,
7465,MG,2016,22.0,M,1,3,501.7,441.5,464.1,513.8,380.0
7466,GO,2016,20.0,M,1,2,,,,,
7467,RJ,2016,20.0,F,1,1,516.5,415.4,478.9,528.4,460.0
7468,MG,2016,15.0,F,1,3,592.2,621.4,593.4,594.9,600.0
7469,GO,2016,22.0,M,1,1,520.5,440.9,474.2,531.1,500.0
7470,MG,2016,17.0,F,2,1,534.1,459.6,447.6,505.1,480.0
7471,PR,2016,17.0,F,2,1,561.6,567.9,600.7,548.8,560.0
7472,MG,2016,18.0,M,2,1,592.8,464.6,540.3,592.3,600.0
7473,BA,2016,21.0,F,1,3,,,,,
7474,RJ,2016,29.0,M,1,3,599.2,624.2,555.5,663.9,560.0
7475,SP,2016,18.0,M,2,5,,,,,
7476,PR,2016,26.0,M,1,1,,,,,
7477,SP,2016,18.0,F,1,1,,,,,
7478,AC,2016,22.0,M,1,3,,,,,
7479,MG,2016,35.0,F,1,2,582.2,474.4,565.9,532.9,540.0
7480,SP,2016,17.0,F,2,1,,,,,
7481,ES,2016,41.0,M,2,3,,,,,
7482,BA,2016,38.0,F,1,1,,,,,
7483,SP,2016,21.0,F,1,3,610.0,592.1,543.2,522.0,600.0
7484,CE,2016,16.0,F,1,3,568.7,538.3,586.7,586.5,900.0
7485,PR,2016,16.0,M,1,1,612.0,656.4,634.8,664.3,640.0
7486,MG,2016,23.0,F,1,1,,,,,
7487,MG,2016,38.0,M,1,2,596.1,505.6,601.5,671.6,460.0
7488,SP,2016,17.0,M,2,1,,,,,
7489,PA,2016,16.0,M,1,1,442.9,691.6,546.8,508.3,420.0
7490,CE,2016,18.0,F,2,3,546.7,404.7,486.3,526.1,580.0
7491,MG,2016,29.0,M,1,3,629.4,882.9,766.5,760.6,780.0
7492,SP,2016,17.0,F,2,3,560.5,468.0,479.5,504.0,500.0
7493,MG,2016,19.0,F,1,3,538.3,521.6,507.6,595.3,520.0
7494,PI,2016,19.0,F,1,4,513.7,390.5,511.9,495.8,560.0
7495,BA,2016,23.0,M,1,3,542.5,480.2,606.5,586.6,680.0
7496,AM,2016,19.0,M,1,3,660.1,729.4,681.1,688.1,740.0
7497,SE,2016,17.0,F,1,1,529.2,411.6,513.8,573.8,740.0
7498,AL,2016,21.0,M,2,3,460.4,425.1,493.7,466.9,360.0
7499,ES,2016,16.0,M,1,1,590.3,646.5,585.8,599.7,420.0
7500,RN,2016,19.0,M,1,3,549.6,435.6,454.7,562.7,700.0
7501,SP,2016,17.0,F,2,3,,,,,
7502,SP,2016,17.0,F,1,1,,,398.3,507.9,
7503,RN,2016,21.0,F,1,3,521.2,483.6,472.4,528.8,580.0
7504,MG,2016,26.0,M,1,1,,,,,
7505,PB,2016,18.0,F,2,1,483.9,576.4,409.9,391.3,480.0
7506,SP,2016,30.0,M,1,1,480.1,387.9,453.7,487.8,380.0
7507,RJ,2016,19.0,F,1,3,,,411.4,563.5,
7508,RS,2016,17.0,F,2,1,539.0,480.8,431.8,575.6,580.0
7509,SP,2016,17.0,F,2,1,562.3,526.2,546.5,532.4,440.0
7510,MS,2016,37.0,M,1,1,,,,,
7511,RJ,2016,17.0,F,1,1,,,,,
7512,PR,2016,25.0,F,1,1,,,,,
7513,SP,2016,18.0,F,1,1,549.9,620.4,426.8,557.4,760.0
7514,MG,2016,19.0,F,2,3,488.7,439.8,421.4,408.9,540.0
7515,SP,2016,17.0,F,1,1,540.0,442.3,559.4,621.4,560.0
7516,BA,2016,45.0,M,1,3,511.8,497.7,524.2,605.0,560.0
7517,SP,2016,19.0,F,1,3,,,,,
7518,PB,2016,25.0,M,1,3,,,,,
7519,RN,2016,33.0,M,1,3,577.5,422.1,414.8,617.4,680.0
7520,PI,2016,23.0,M,1,3,,,,,
7521,SP,2016,51.0,F,1,0,,,,,
7522,PI,2016,17.0,F,1,3,505.5,393.0,385.0,374.8,400.0
7523,SP,2016,18.0,M,2,3,,,,,
7524,RJ,2016,20.0,F,1,1,568.2,483.9,492.7,587.4,920.0
7525,RS,2016,22.0,M,3,1,,,,,
7526,BA,2016,21.0,M,1,3,401.7,469.4,449.4,463.5,380.0
7527,MG,2016,18.0,F,3,1,592.9,591.6,496.3,572.6,580.0
7528,BA,2016,38.0,F,1,2,,,,,
7529,PR,2016,33.0,F,1,1,471.1,513.6,390.9,517.7,320.0
7530,MG,2016,17.0,M,1,3,588.8,576.7,580.6,597.5,400.0
7531,MG,2016,50.0,F,1,1,500.5,387.3,449.5,531.3,360.0
7532,PI,2016,18.0,M,1,1,620.0,752.3,680.2,685.9,780.0
7533,ES,2016,33.0,M,1,0,671.6,799.3,656.7,735.2,840.0
7534,SP,2016,16.0,F,1,3,540.2,465.3,504.3,513.3,500.0
7535,RS,2016,22.0,M,1,1,608.8,587.0,606.6,588.4,520.0
7536,MS,2016,17.0,F,2,3,563.6,445.1,503.8,466.5,560.0
7537,MA,2016,35.0,F,1,3,521.2,463.9,431.8,471.2,500.0
7538,SP,2016,18.0,F,3,1,347.7,388.1,457.0,412.9,600.0
7539,PA,2016,49.0,F,1,3,,,,,
7540,BA,2016,17.0,F,1,1,540.5,428.6,383.8,484.4,480.0
7541,RS,2016,41.0,F,1,1,,,,,
7542,MG,2016,17.0,M,1,1,440.5,359.8,399.1,406.8,540.0
7543,SP,2016,39.0,M,1,1,,,,,
7544,MG,2016,18.0,F,1,3,484.2,495.0,417.7,470.0,480.0
7545,BA,2016,21.0,F,1,3,585.2,435.3,482.4,607.9,580.0
7546,MA,2016,27.0,M,1,2,574.4,622.7,428.6,612.9,560.0
7547,BA,2016,17.0,F,3,1,589.6,491.8,542.7,653.3,900.0
7548,PA,2016,16.0,M,1,0,498.4,440.3,500.0,392.7,600.0
7549,MG,2016,17.0,F,1,1,600.7,662.7,594.3,640.0,680.0
7550,CE,2016,26.0,M,1,3,538.1,356.2,405.1,478.8,520.0
7551,SE,2016,25.0,F,1,2,431.1,466.1,448.0,490.6,520.0
7552,SP,2016,17.0,F,3,1,590.5,622.4,484.4,668.5,680.0
7553,DF,2016,23.0,F,1,4,,,,,
7554,PI,2016,16.0,F,1,3,430.7,499.3,369.5,499.2,420.0
7555,PB,2016,20.0,F,1,3,536.9,382.7,406.7,408.3,320.0
7556,RN,2016,16.0,F,1,3,,,,,
7557,SP,2016,53.0,F,1,2,505.2,436.7,487.5,501.0,320.0
7558,SE,2016,21.0,F,1,3,,,615.4,604.4,
7559,PI,2016,17.0,M,1,3,,,,,
7560,MA,2016,19.0,F,1,3,542.4,429.8,548.6,536.3,540.0
7561,DF,2016,23.0,F,1,3,,,,,
7562,PE,2016,20.0,F,1,3,507.6,527.7,526.5,595.4,720.0
7563,MA,2016,23.0,F,1,3,,,,,
7564,BA,2016,23.0,F,1,3,,,,,
7565,MG,2016,19.0,F,1,1,519.7,400.7,536.5,535.3,800.0
7566,RS,2016,15.0,F,1,1,,,,,
7567,SP,2016,23.0,M,1,1,655.9,748.3,613.6,733.5,840.0
7568,SP,2016,28.0,F,1,1,,,,,
7569,PE,2016,28.0,M,1,1,591.0,551.8,463.3,564.5,600.0
7570,GO,2016,19.0,F,1,3,499.1,469.3,415.8,490.5,340.0
7571,RR,2016,30.0,F,1,3,,,,,
7572,BA,2016,33.0,F,1,2,567.2,542.7,454.8,566.2,560.0
7573,MT,2016,17.0,F,1,2,542.6,602.8,463.3,513.9,540.0
7574,SP,2016,19.0,F,1,3,,,,,
7575,MA,2016,18.0,M,2,2,464.7,579.3,441.4,488.9,480.0
7576,CE,2016,16.0,F,1,5,562.1,413.3,442.6,538.1,580.0
7577,BA,2016,27.0,F,1,3,478.2,456.4,470.9,485.3,400.0
7578,MG,2016,22.0,F,1,1,499.2,445.8,379.8,490.3,500.0
7579,SP,2016,17.0,F,2,1,602.3,563.5,447.1,563.0,680.0
7580,PR,2016,33.0,F,1,3,,,,,
7581,ES,2016,24.0,M,1,1,495.0,629.5,559.3,562.0,500.0
7582,PR,2016,25.0,F,1,1,,,,,
7583,BA,2016,17.0,F,2,1,591.6,354.5,551.2,579.8,580.0
7584,DF,2016,21.0,F,1,3,354.8,389.9,365.3,363.9,440.0
7585,MA,2016,26.0,M,1,3,620.3,487.0,480.8,578.8,480.0
7586,PE,2016,33.0,M,1,2,,,,,
7587,RN,2016,21.0,F,1,3,503.0,353.9,439.0,501.6,460.0
7588,SP,2016,21.0,M,1,1,462.2,603.8,565.0,516.5,660.0
7589,SP,2016,16.0,F,1,1,627.3,353.7,488.7,572.6,440.0
7590,RJ,2016,18.0,F,3,1,602.8,569.3,526.4,591.0,760.0
7591,AC,2016,26.0,F,1,1,449.8,361.5,377.7,478.4,360.0
7592,CE,2016,20.0,F,1,3,,,,,
7593,BA,2016,19.0,F,2,2,581.5,636.7,480.1,663.7,840.0
7594,AM,2016,40.0,F,1,3,436.4,458.2,428.5,523.9,380.0
7595,SP,2016,21.0,M,1,1,624.7,696.6,606.4,601.8,760.0
7596,PR,2016,45.0,M,1,1,494.5,503.1,472.5,515.6,540.0
7597,PE,2016,20.0,M,1,3,,,,,
7598,PE,2016,16.0,F,2,3,,,,,
7599,SP,2016,17.0,F,2,2,,,,,
7600,CE,2016,18.0,M,3,1,473.2,621.2,465.3,570.4,480.0
7601,BA,2016,22.0,F,1,2,567.3,396.2,382.6,575.5,600.0
7602,SP,2016,18.0,M,1,3,544.5,661.1,536.3,553.3,540.0
7603,BA,2016,20.0,M,2,2,,,,,
7604,GO,2016,26.0,M,1,3,529.7,534.2,447.8,561.5,520.0
7605,RJ,2016,18.0,F,1,3,422.6,792.8,631.9,697.8,780.0
7606,PA,2016,15.0,F,1,3,390.3,417.1,385.8,468.7,520.0
7607,CE,2016,18.0,M,2,2,548.3,644.5,471.9,619.0,480.0
7608,PI,2016,25.0,M,1,3,,,,,
7609,PR,2016,25.0,M,1,3,562.3,492.7,421.9,590.0,640.0
7610,PR,2016,18.0,M,1,1,528.6,631.2,530.7,488.4,480.0
7611,PE,2016,16.0,F,1,2,527.0,499.3,432.7,609.2,620.0
7612,PE,2016,18.0,F,1,1,591.0,590.8,520.7,602.6,760.0
7613,CE,2016,21.0,M,2,3,,,,,
7614,SC,2016,17.0,F,2,1,596.9,445.6,483.6,535.5,600.0
7615,RO,2016,17.0,M,2,3,,,,,
7616,MG,2016,15.0,F,1,3,575.3,677.5,612.1,591.0,600.0
7617,AM,2016,21.0,M,1,3,,,,,
7618,MG,2016,30.0,F,1,3,575.2,650.3,509.4,522.4,600.0
7619,RS,2016,21.0,F,1,1,,,,,
7620,RS,2016,45.0,M,1,1,,,,,
7621,PR,2016,16.0,M,1,3,470.9,435.6,414.5,507.2,500.0
7622,PA,2016,19.0,F,1,2,546.3,361.1,484.8,583.6,560.0
7623,SP,2016,24.0,M,1,1,484.5,374.7,405.7,564.4,620.0
7624,PR,2016,20.0,M,1,1,,,,,
7625,GO,2016,26.0,F,1,3,484.0,536.9,512.1,530.0,500.0
7626,CE,2016,16.0,F,1,3,501.4,375.1,372.8,463.8,400.0
7627,PR,2016,41.0,F,1,1,433.9,500.8,371.6,484.2,380.0
7628,MG,2016,24.0,F,1,2,,,,,
7629,BA,2016,23.0,F,1,2,,,504.3,538.4,
7630,CE,2016,17.0,F,1,3,501.4,418.5,468.7,356.7,360.0
7631,SC,2016,26.0,F,1,1,538.8,612.6,420.6,512.1,580.0
7632,MT,2016,30.0,M,1,1,,,,,
7633,RJ,2016,17.0,M,2,3,486.2,436.1,448.9,577.0,500.0
7634,SP,2016,19.0,F,1,1,,,,,
7635,SP,2016,18.0,F,1,1,432.8,483.0,481.9,392.9,540.0
7636,BA,2016,36.0,F,1,3,540.7,471.5,529.0,538.0,580.0
7637,PA,2016,24.0,M,1,3,,,,,
7638,MA,2016,18.0,F,1,3,,,,,
7639,BA,2016,21.0,F,1,3,474.9,608.7,609.6,575.2,700.0
7640,MG,2016,22.0,M,1,2,,,,,
7641,PB,2016,41.0,M,1,3,,,,,
7642,TO,2016,25.0,F,1,3,534.7,475.8,370.9,541.3,460.0
7643,SP,2016,16.0,F,1,3,392.0,400.6,416.7,366.1,560.0
7644,RS,2016,27.0,M,1,1,,,,,
7645,MG,2016,29.0,M,1,5,619.9,687.7,559.9,654.4,520.0
7646,MS,2016,21.0,F,1,1,564.6,387.0,576.9,588.4,480.0
7647,DF,2016,17.0,M,2,3,523.0,446.1,539.3,509.1,580.0
7648,PA,2016,22.0,F,1,3,493.0,457.9,398.9,514.3,440.0
7649,BA,2016,34.0,M,1,3,,,,,
7650,PR,2016,17.0,M,2,0,628.0,732.4,644.8,697.0,580.0
7651,SP,2016,21.0,F,1,3,605.0,442.9,494.2,564.2,500.0
7652,RJ,2016,18.0,F,1,1,470.9,401.6,416.7,538.2,480.0
7653,MG,2016,18.0,F,2,3,476.7,570.1,404.7,493.4,440.0
7654,MS,2016,23.0,F,3,3,534.8,376.2,412.5,483.4,460.0
7655,SP,2016,20.0,F,1,1,,,,,
7656,PR,2016,22.0,M,1,1,484.8,497.2,465.9,469.6,480.0
7657,SP,2016,31.0,F,1,1,478.0,428.9,438.9,512.8,480.0
7658,AL,2016,16.0,F,1,4,526.1,431.7,387.4,430.7,400.0
7659,MG,2016,18.0,F,1,3,545.9,451.9,508.5,484.4,560.0
7660,PE,2016,16.0,F,1,3,559.2,561.7,473.0,581.0,740.0
7661,SP,2016,16.0,M,1,3,540.6,654.3,526.2,592.6,560.0
7662,MT,2016,32.0,F,1,3,,,,,
7663,SP,2016,44.0,F,1,0,,,,,
7664,PR,2016,20.0,M,1,1,,,,,
7665,PE,2016,18.0,M,2,1,,,,,
7666,AM,2016,40.0,M,1,1,621.9,712.8,616.2,740.8,660.0
7667,BA,2016,40.0,F,1,1,,,,,
7668,BA,2016,33.0,F,1,2,,,,,
7669,SP,2016,27.0,F,1,1,553.3,588.9,582.8,554.9,400.0
7670,PE,2016,18.0,M,1,1,587.7,748.1,572.7,621.2,800.0
7671,BA,2016,41.0,M,1,3,638.7,467.0,598.4,684.9,720.0
7672,PR,2016,22.0,F,1,1,465.5,514.0,377.2,495.0,580.0
7673,TO,2016,22.0,F,1,3,508.4,495.4,503.6,581.3,640.0
7674,MG,2016,17.0,M,1,1,623.5,635.5,620.1,565.5,580.0
7675,PE,2016,16.0,F,1,4,574.0,640.3,559.6,613.3,800.0
7676,BA,2016,41.0,M,1,2,,,,,
7677,ES,2016,18.0,F,2,3,471.0,405.2,441.7,483.5,660.0
7678,MA,2016,21.0,F,1,1,,,,,
7679,SC,2016,17.0,M,2,3,,,,,
7680,RJ,2016,22.0,M,1,1,544.8,598.2,566.8,640.7,600.0
7681,SP,2016,19.0,M,1,3,590.2,343.2,466.6,582.9,440.0
7682,SC,2016,27.0,M,1,1,540.5,471.4,437.2,556.7,520.0
7683,BA,2016,19.0,F,1,3,528.8,498.8,425.8,443.5,500.0
7684,PB,2016,21.0,M,1,1,,,527.5,543.8,
7685,SP,2016,17.0,F,1,2,545.3,475.3,424.6,616.2,780.0
7686,CE,2016,26.0,M,1,2,458.8,616.8,416.7,526.2,660.0
7687,SP,2016,19.0,F,1,3,,,,,
7688,RO,2016,44.0,M,1,3,526.3,441.1,429.0,624.1,540.0
7689,SP,2016,19.0,M,1,3,422.2,572.3,460.8,440.6,520.0
7690,SP,2016,17.0,F,2,3,502.3,342.9,393.1,400.8,480.0
7691,RJ,2016,39.0,M,1,3,,,,,
7692,SE,2016,16.0,F,1,0,592.7,375.8,600.5,596.2,740.0
7693,RJ,2016,19.0,M,1,2,531.6,419.4,453.2,523.1,600.0
7694,MG,2016,19.0,M,1,2,417.4,360.6,435.9,450.1,440.0
7695,BA,2016,22.0,F,1,3,546.5,404.7,563.7,613.7,520.0
7696,RJ,2016,18.0,M,2,1,,,,,
7697,MS,2016,30.0,F,1,1,,,,,
7698,PR,2016,17.0,F,2,1,581.8,533.9,543.4,613.4,680.0
7699,MS,2016,25.0,F,1,2,495.5,404.3,440.2,516.8,480.0
7700,SP,2016,25.0,F,1,1,,,,,
7701,RS,2016,21.0,M,1,1,587.5,422.0,497.7,545.0,400.0
7702,MG,2016,40.0,M,1,3,436.6,609.4,445.4,566.8,0.0
7703,PR,2016,17.0,M,2,1,,,,,
7704,RJ,2016,22.0,F,1,3,480.1,378.1,407.1,530.2,620.0
7705,AL,2016,33.0,F,1,3,491.7,405.5,437.4,536.7,480.0
7706,MG,2016,41.0,M,1,2,463.0,381.0,424.4,495.8,420.0
7707,AM,2016,18.0,F,2,5,471.3,427.2,516.2,478.7,520.0
7708,BA,2016,21.0,F,2,3,,,,,
7709,BA,2016,19.0,F,1,2,,,,,
7710,BA,2016,20.0,M,1,2,446.7,467.4,475.9,499.8,440.0
7711,SP,2016,16.0,F,1,1,671.6,731.7,685.8,751.6,840.0
7712,SP,2016,19.0,F,2,3,489.4,385.5,435.7,484.2,600.0
7713,RS,2016,17.0,F,1,2,429.2,428.9,471.5,462.0,480.0
7714,PA,2016,45.0,F,1,3,,,,,
7715,ES,2016,22.0,F,1,3,586.1,431.1,515.9,643.0,460.0
7716,SP,2016,16.0,F,1,2,465.4,376.5,489.4,480.7,460.0
7717,MG,2016,18.0,M,2,1,470.2,543.5,425.4,514.5,340.0
7718,SP,2016,20.0,M,1,1,566.4,531.0,366.8,535.5,580.0
7719,PE,2016,19.0,F,2,3,,,,,
7720,PE,2016,23.0,M,1,1,,,,,
7721,MG,2016,24.0,F,1,1,,,505.1,523.6,
7722,BA,2016,20.0,M,1,3,434.0,423.1,486.5,539.5,660.0
7723,MA,2016,25.0,F,1,3,531.8,436.2,420.6,465.0,540.0
7724,RS,2016,18.0,F,2,1,584.6,481.5,414.0,598.8,660.0
7725,BA,2016,18.0,F,3,3,424.7,511.9,500.2,451.3,340.0
7726,RJ,2016,54.0,M,1,1,589.7,449.5,565.9,634.3,480.0
7727,SP,2016,30.0,F,1,3,,,,,
7728,RS,2016,22.0,F,1,1,,,,,
7729,PE,2016,16.0,F,2,1,551.0,479.6,414.1,575.4,600.0
7730,PI,2016,17.0,F,1,3,,,369.5,428.2,
7731,MS,2016,19.0,F,1,1,545.0,443.1,487.6,391.7,600.0
7732,MS,2016,42.0,M,1,3,366.8,507.4,438.8,426.2,200.0
7733,AM,2016,51.0,F,1,3,412.6,446.0,436.0,359.3,0.0
7734,RJ,2016,19.0,M,1,3,521.3,403.7,445.6,518.4,380.0
7735,SP,2016,17.0,M,1,1,,,,,
7736,PR,2016,16.0,M,2,1,573.0,524.5,530.9,564.5,720.0
7737,SP,2016,26.0,F,1,3,,,,,
7738,RJ,2016,19.0,F,1,1,651.3,479.6,618.4,641.4,940.0
7739,AM,2016,19.0,F,1,3,,,,,
7740,MS,2016,18.0,F,2,1,565.6,494.4,450.0,617.4,660.0
7741,CE,2016,18.0,F,2,1,379.6,421.4,397.4,489.5,440.0
7742,MG,2016,23.0,M,1,1,,,,,
7743,MG,2016,16.0,F,1,1,594.8,570.7,573.9,537.8,680.0
7744,BA,2016,26.0,F,1,3,,,,,
7745,CE,2016,21.0,M,1,1,,,,,
7746,RJ,2016,18.0,M,2,3,590.1,722.2,633.0,606.6,640.0
7747,AL,2016,25.0,F,1,3,526.3,362.8,411.6,396.7,460.0
7748,SC,2016,17.0,F,2,1,498.2,548.2,421.5,553.6,740.0
7749,MA,2016,19.0,F,2,3,408.6,370.7,510.2,389.1,180.0
7750,MG,2016,17.0,M,3,1,560.7,692.9,563.6,454.5,640.0
7751,SC,2016,18.0,M,1,1,474.4,476.2,480.3,532.6,560.0
7752,PR,2016,22.0,F,1,1,631.9,771.4,669.7,633.9,760.0
7753,PR,2016,21.0,M,1,2,456.2,349.1,414.0,418.4,360.0
7754,RJ,2016,38.0,F,1,1,,,0.0,356.5,
7755,CE,2016,18.0,F,1,3,478.3,382.8,417.2,532.9,480.0
7756,RJ,2016,19.0,M,2,3,463.6,388.1,423.3,422.1,400.0
7757,RJ,2016,20.0,F,1,1,636.8,633.7,616.3,684.0,720.0
7758,PA,2016,38.0,M,1,3,,,,,
7759,MG,2016,17.0,F,1,1,514.8,516.2,506.3,573.1,580.0
7760,GO,2016,18.0,F,2,3,,,,,
7761,ES,2016,19.0,F,1,3,,,,,
7762,ES,2016,42.0,M,1,2,,,,,
7763,PB,2016,20.0,M,1,1,,,,,
7764,PI,2016,30.0,F,1,4,387.4,357.7,399.6,361.5,440.0
7765,PI,2016,18.0,M,1,3,617.4,821.3,606.4,698.4,900.0
7766,MG,2016,18.0,M,3,3,659.4,762.2,610.2,692.0,920.0
7767,RS,2016,35.0,M,1,1,519.9,558.4,520.3,597.4,540.0
7768,CE,2016,20.0,M,1,3,,,,,
7769,SP,2016,16.0,M,1,3,,,,,
7770,PA,2016,20.0,F,1,3,,,,,
7771,ES,2016,19.0,F,2,3,505.4,371.9,450.1,511.2,440.0
7772,GO,2016,20.0,M,1,2,463.5,736.8,594.3,570.9,500.0
7773,RJ,2016,16.0,F,1,1,,,,,
7774,RJ,2016,20.0,M,1,3,588.6,504.8,545.9,629.7,560.0
7775,MS,2016,49.0,M,1,1,,,,,
7776,PE,2016,20.0,M,1,3,499.8,551.7,488.3,552.0,460.0
7777,BA,2016,17.0,F,2,3,554.6,377.8,511.5,547.8,440.0
7778,GO,2016,18.0,F,1,5,516.3,374.6,419.0,553.6,540.0
7779,SP,2016,23.0,M,1,1,,,,,
7780,SP,2016,33.0,F,1,1,,,,,
7781,PB,2016,21.0,M,1,1,604.7,580.2,530.1,622.8,600.0
7782,MS,2016,22.0,M,1,1,,,,,
7783,SP,2016,21.0,M,1,1,367.8,482.5,416.9,497.3,0.0
7784,PA,2016,31.0,F,1,3,,,,,
7785,PE,2016,15.0,F,1,1,556.0,483.9,480.5,556.9,480.0
7786,PB,2016,24.0,M,1,3,576.1,637.1,602.3,632.0,600.0
7787,MT,2016,16.0,M,1,3,,,,,
7788,RS,2016,21.0,M,1,3,,,,,
7789,PB,2016,26.0,F,1,3,668.1,590.1,584.6,684.7,660.0
7790,PR,2016,23.0,M,1,3,,,,,
7791,RN,2016,22.0,F,1,1,,,,,
7792,AP,2016,17.0,M,3,1,509.4,623.4,535.8,595.6,520.0
7793,BA,2016,30.0,M,1,3,428.0,391.1,374.8,477.7,380.0
7794,RO,2016,16.0,F,1,3,529.3,459.3,472.6,584.8,660.0
7795,CE,2016,28.0,M,1,3,,,,,
7796,PE,2016,22.0,M,1,3,,,,,
7797,PR,2016,21.0,M,2,3,615.6,619.6,587.8,597.3,720.0
7798,PA,2016,17.0,F,3,3,384.6,452.8,499.0,547.0,560.0
7799,MG,2016,24.0,M,1,2,379.6,464.2,481.7,447.8,560.0
7800,CE,2016,17.0,M,1,2,514.3,490.0,398.3,450.9,380.0
7801,RN,2016,20.0,M,1,3,678.8,750.7,668.0,766.1,920.0
7802,BA,2016,38.0,F,1,3,,,,,
7803,GO,2016,16.0,F,2,3,525.9,512.0,597.1,607.7,840.0
7804,CE,2016,16.0,F,1,4,460.0,482.3,606.1,594.4,560.0
7805,AL,2016,33.0,F,2,3,399.9,483.9,417.4,463.1,400.0
7806,MG,2016,21.0,F,2,5,503.4,435.1,482.6,557.1,460.0
7807,PA,2016,44.0,F,1,3,,,,,
7808,RJ,2016,18.0,F,1,1,629.2,441.0,585.8,599.0,700.0
7809,SC,2016,26.0,M,1,3,,,,,
7810,TO,2016,29.0,F,1,1,561.5,553.4,458.1,511.1,420.0
7811,RN,2016,22.0,F,1,1,,,,,
7812,SC,2016,19.0,M,3,1,602.8,536.3,543.7,614.1,500.0
7813,PB,2016,30.0,M,1,1,432.3,369.2,474.9,457.8,520.0
7814,MG,2016,38.0,M,1,2,517.0,385.0,419.3,557.2,380.0
7815,RJ,2016,21.0,M,1,1,543.2,443.3,483.8,550.2,560.0
7816,RO,2016,18.0,M,2,1,502.8,536.2,403.4,551.1,460.0
7817,SP,2016,21.0,F,1,3,411.3,562.2,454.9,495.3,640.0
7818,SP,2016,17.0,F,2,1,,,,,
7819,RJ,2016,23.0,M,1,2,,,,,
7820,SC,2016,48.0,F,1,1,,,,,
7821,AL,2016,16.0,F,1,2,,,,,
7822,PR,2016,32.0,M,1,1,,,,,
7823,ES,2016,34.0,F,1,2,501.7,484.5,464.8,532.8,540.0
7824,GO,2016,45.0,F,1,4,,,,,
7825,SP,2016,19.0,F,1,2,546.4,422.7,422.0,548.2,520.0
7826,MT,2016,23.0,M,1,3,541.3,537.4,484.3,550.8,360.0
7827,PR,2016,41.0,F,1,1,425.5,369.9,402.4,465.3,520.0
7828,MT,2016,21.0,M,2,3,449.8,364.1,446.1,404.6,0.0
7829,MG,2016,19.0,F,1,3,605.3,739.4,607.5,620.0,780.0
7830,BA,2016,19.0,M,1,2,512.6,506.6,482.1,548.0,420.0
7831,RS,2016,34.0,M,1,1,423.0,380.4,542.7,589.3,380.0
7832,CE,2016,17.0,F,1,3,,,442.3,486.6,
7833,MG,2016,18.0,F,2,3,,,398.3,540.4,
7834,RJ,2016,20.0,M,1,1,502.4,364.2,436.0,506.1,500.0
7835,PE,2016,34.0,F,1,1,,,,,
7836,SP,2016,18.0,F,1,1,612.5,359.6,525.0,544.5,620.0
7837,SP,2016,27.0,F,1,3,508.1,452.7,444.3,457.4,500.0
7838,SP,2016,26.0,M,1,2,,,,,
7839,ES,2016,27.0,M,1,3,528.2,572.4,494.8,600.8,380.0
7840,MG,2016,39.0,F,1,2,497.7,389.7,420.5,476.3,480.0
7841,SP,2016,38.0,M,1,3,558.2,403.0,472.7,585.9,440.0
