index,UF,ano,idade,sexo,escola,cor_raca,NOTA_LC,NOTA_MT,NOTA_CN,NOTA_CH,NOTA_REDACAO
97,MS,2016,28.0,F,1,1,590.1,443.6,454.2,608.7,580.0
98,GO,2016,18.0,F,1,2,,,,,
99,PI,2016,17.0,F,3,3,463.6,611.0,636.6,586.5,700.0
100,SP,2016,39.0,F,1,2,523.6,415.8,460.8,549.7,400.0
101,BA,2016,18.0,M,1,2,,,,,
102,CE,2016,20.0,M,2,3,533.7,430.3,492.5,452.3,300.0
103,SC,2016,22.0,F,1,1,502.3,398.1,427.6,513.2,680.0
104,GO,2016,19.0,F,1,1,421.7,398.4,403.8,508.8,460.0
105,PR,2016,42.0,F,1,1,,,,,
106,AM,2016,25.0,F,1,2,582.5,604.8,531.4,601.4,760.0
107,BA,2016,27.0,F,1,3,399.2,350.8,499.0,390.9,340.0
108,BA,2016,20.0,F,1,3,,,,,
109,PB,2016,18.0,F,1,3,584.3,536.0,551.3,629.0,640.0
110,CE,2016,27.0,F,2,3,490.4,352.3,411.5,459.6,480.0
111,BA,2016,16.0,F,1,2,582.6,503.7,537.5,632.6,560.0
112,MG,2016,16.0,F,1,3,523.2,575.3,539.6,593.7,560.0
113,PI,2016,16.0,M,1,3,511.9,445.6,465.4,443.9,480.0
114,PE,2016,22.0,M,1,3,,,,,
115,PA,2016,24.0,F,1,3,570.1,422.8,495.6,591.5,740.0
116,RJ,2016,41.0,M,1,2,,,,,
117,PB,2016,18.0,F,1,1,574.6,635.2,518.4,563.3,740.0
118,CE,2016,17.0,M,1,1,476.8,647.1,543.7,499.8,520.0
119,RJ,2016,16.0,M,1,1,628.5,594.9,487.0,617.3,600.0
120,CE,2016,18.0,F,1,3,556.4,424.8,469.6,529.8,620.0
121,BA,2016,28.0,F,1,1,594.4,499.8,480.4,576.4,560.0
122,SC,2016,21.0,F,1,1,610.5,555.8,498.4,587.9,580.0
123,MT,2016,21.0,F,1,2,514.4,482.1,409.1,493.3,520.0
124,PI,2016,53.0,M,1,3,460.1,413.5,417.5,473.0,400.0
125,MA,2016,17.0,F,2,3,416.6,447.4,430.1,398.6,520.0
126,BA,2016,34.0,F,1,1,,,,,
127,RS,2016,23.0,M,1,2,664.1,570.5,556.1,650.9,900.0
128,BA,2016,17.0,F,1,3,,,,,
